AED;784;0.25;0.01;0.001;0.25;0;100;200.131;0;02:02;02:05
AUD;036;1;0.01;0.001;0.01;0;100;293.66;0;02:02;02:05
BGN;975;1;0.01;0.001;0.01;0;100;270.63;0;02:02;02:05
BND;096;0.1;0.01;0.001;0.01;0;100;336.47;0;02:02;02:05
BRL;986;1;0.01;0.001;0.01;0;100;209.93;0;02:02;02:05
CAD;124;0.1;0.01;0.001;0.01;0;100;369.78;0;02:02;02:05
CHF;756;0.1;0.01;0.001;0.01;0;100;465.26;0;02:02;02:05
RSD;941;10;0.01;0.001;0.01;0;100;8.75327;0;02:02;02:05
CZK;203;10;0.01;0.001;0.01;0;100;22.7896;0;02:02;02:05
DKK;208;1;0.01;0.001;0.01;0;100;100;0;02:02;02:05
DZD;012;0.1;0.01;0.001;0.01;0;100;9.60385;0;02:02;02:05
EUR;978;0.1;0.01;0.001;0.01;0;1;5.528928;1;02:02;02:05
FJD;242;1;0.01;0.001;0.01;0;100;258.05 ;0;02:02;02:05
GBP;826;0.1;0.01;0.00001;0.01;0;100;856.16438;0;02:02;02:05
HKD;344;1;0.01;0.001;0.01;0;100;75.03;0;02:02;02:05
HRK;191;1;0.01;0.001;0.01;0;100;101.169;0;02:02;02:05
HUF;348;1;0.01;0.001;1;0;100;3.1459;0;02:02;02:05
IDR;360;25;1;0.1;1;0;100;0.08264;0;00:00;00:03
INR;356;10;0.01;0.001;0.01;0;100;12.33;0;02:02;02:05
ISK;352;10;0.01;0.001;0.01;0;100;8.52;0;02:02;02:05
JPY;392;10;0.01;0.001;0.01;0;100;4.97;0;02:02;02:05
KES;404;0.5;0.01;0.001;0.5;0;100;9.2691;0;02:02;02:05
MAD;504;0.1;0.01;0.001;0.01;0;100;70.49391;0;02:02;02:05
MXN;484;1;0.01;0.001;0.01;0;100;61.73;0;02:02;02:05
MYR;458;1;0.01;0.001;0.01;0;100;154.62;0;02:02;02:05
MZN;943;50;1;0.01;10;0;1000;0.31842;0;00:00;00:03
NGN;566;1;0.01;0.001;1;0;100;5.8221;0;02:02;02:05
NOK;578;1;0.01;0.001;0.01;0;100;87.85;0;02:02;02:05
NZD;554;1;0.01;0.001;0.01;0;100;248.54;0;02:02;02:05
PHP;608;10;0.01;0.001;0.01;0;100;11.47;0;02:02;02:05
PLN;985;1;0.01;0.001;0.01;0;100;142.12;0;02:02;02:05
RON;946;1;0.01;0.01;0.01;0;1000;0.2248;0;02:02;02:05
RUB;643;10;0.01;0.001;0.01;0;100;20.12;0;02:02;02:05
SAR;682;1;0.01;0.001;0.01;0;100;156.51;0;02:02;02:05
SBD;090;1;0.01;0.001;0.01;0;100;108.65;0;02:02;02:05
SEK;752;1;0.01;0.001;0.01;0;100;84.73;0;02:02;02:05
SGD;702;0.1;0.01;0.001;0.01;0;100;338.61;0;02:02;02:05
SZL;748;1;0.01;0.001;0.01;0;100;80.77363;0;02:02;02:05
THB;764;10;1;1;1;0;100;13.18;0;00:00;00:03
TND;788;0.005;0.001;0.001;0.01;0;100;539.479;0;03:03;02:05
TOP;776;1;0.01;0.001;0.01;0;1;2.92157;0;02:02;02:05
TRY;949;0.1;0.01;0.001;0.01;0;100;456.674;0;02:02;02:05
UGX;800;50;1;0.1;1;0;100;0.42488;0;00:00;00:03
USD;840;0.1;0.01;0.001;0.01;0;100;555.5;0;02:02;02:05
VUV;548;10;0.01;0.001;0.01;0;100;4.11;0;02:02;02:05
WST;882;0.1;0.01;0.001;0.01;0;100;2050.86;0;02:02;02:05
XPF;953;1;0.01;0.001;0.01;0;100;6.254;0;02:02;02:05
ZAR;710;1;0.01;0.001;0.01;0;100;68.41;0;02:02;02:05
AFN;971;1;0.01;0.001;0.01;0;100;978;0;02:02;02:05
ALL;008;1;0.01;0.001;0.01;0;100;1262;0;02:02;02:05
AMD;051;1;0.01;0.001;0.01;0;100;5703;0;02:02;02:05
AOA;973;1;0.01;0.001;0.01;0;100;14208;0;02:02;02:05
ARS;032;1;0.01;0.001;0.01;0;100;22114;0;02:02;02:05
AWG;533;1;0.01;0.001;0.01;0;100;27.88;0;02:02;02:05
AZN;944;1;0.01;0.001;0.01;0;100;26.31;0;02:02;02:05
BAM;977;1;0.01;0.001;0.01;0;100;26.80;0;02:02;02:05
BBD;052;1;0.01;0.001;0.01;0;100;30.95;0;02:02;02:05
BDT;050;1;0.01;0.001;0.01;0;100;1903;0;02:02;02:05
BHD;048;1;0.001;0.0001;0.001;0;100;5.83;0;03:03;03:06
BIF;108;1;1;0.1;1;0;100;4443;0;00:00;00:03
BMD;060;1;0.01;0.001;0.01;0;100;15.48;0;02:02;02:05
BOB;068;1;0.01;0.001;0.01;0;100;106.70;0;02:02;02:05
BOV;984;1;0.01;0.001;0.01;0;100;106.70;0;02:02;02:05
BSD;044;1;0.01;0.001;0.01;0;100;15.48;0;02:02;02:05
BTN;064;1;0.01;0.001;0.01;0;100;1218;0;02:02;02:05
BWP;072;1;0.01;0.001;0.01;0;100;209.60;0;02:02;02:05
BYN;933;1;0.01;0.001;0.01;0;100;42.82;0;02:02;02:05
BZD;084;1;0.01;0.001;0.01;0;100;31.12;0;02:02;02:05
CDF;976;1;0.01;0.001;0.01;0;100;4163;0;02:02;02:05
CLF;990;1;0.0001;0.00001;0.0001;0;100;0.46;0;04:04;04:07
CLP;152;1;1;0.1;1;0;100;13971;0;00:00;00:03
CNY;156;1;0.01;0.001;0.01;0;100;104.97;0;02:02;02:05
COP;170;1;0.01;0.001;0.01;0;100;606;0;02:02;02:05
CRC;188;1;0.01;0.001;0.01;0;100;7072;0;02:02;02:05
CUP;192;1;0.01;0.001;0.01;0;100;372;0;02:02;02:05
CVE;132;1;0.01;0.001;0.01;0;100;1485;0;02:02;02:05
DJF;262;1;1;0.1;1;0;100;2752;0;00:00;00:03
DOP;214;1;0.01;0.001;0.01;0;100;911;0;02:02;02:05
EGP;818;1;0.01;0.001;0.01;0;100;760;0;02:02;02:05
ERN;232;1;0.01;0.001;0.01;0;100;232;0;02:02;02:05
ETB;230;1;0.01;0.001;0.01;0;100;875;0;02:02;02:05
FKP;238;1;0.01;0.001;0.01;0;100;12.00;0;02:02;02:05
GEL;981;1;0.01;0.001;0.01;0;100;42.10;0;02:02;02:05
GHS;936;1;0.01;0.001;0.01;0;100;171;0;02:02;02:05
GIP;292;1;0.01;0.001;0.01;0;100;12.00;0;02:02;02:05
GMD;270;1;0.01;0.001;0.01;0;100;105;0;02:02;02:05
GNF;324;1;1;0.1;1;0;100;133;0;00:00;00:03
GTQ;320;1;0.01;0.001;0.01;0;100;118.30;0;02:02;02:05
GYD;328;1;0.01;0.001;0.01;0;100;324;0;02:02;02:05
HNL;340;1;0.01;0.001;0.01;0;100;415.00;0;02:02;02:05
HTG;332;1;0.01;0.001;0.01;0;100;2028;0;02:02;02:05
ILS;376;1;0.01;0.001;0.01;0;100;58.00;0;02:02;02:05
IQD;368;1;0.001;0.0001;0.001;0;100;203;0;03:03;03:06
IRR;364;1;0.01;0.001;0.01;0;100;65;0;02:02;02:05
JMD;388;1;0.01;0.001;0.01;0;100;2456;0;02:02;02:05
JOD;400;1;0.001;0.0001;0.001;0;100;10.98;0;03:03;03:06
KGS;417;1;0.01;0.001;0.01;0;100;121;0;02:02;02:05
KHR;116;1;0.01;0.001;0.01;0;100;628;0;02:02;02:05
KMF;174;1;1;0.1;1;0;100;665;0;00:00;00:03
KPW;408;1;0.01;0.001;0.01;0;100;139;0;02:02;02:05
KRW;410;1;1;0.1;1;0;100;203;0;00:00;00:03
KWD;414;1;0.001;0.0001;0.001;0;100;4.76;0;03:03;03:06
KYD;136;1;0.01;0.001;0.01;0;100;12.90;0;02:02;02:05
KZT;398;1;0.01;0.001;0.01;0;100;705;0;02:02;02:05
LAK;418;1;0.01;0.001;0.01;0;100;335;0;02:02;02:05
LBP;422;1;0.01;0.001;0.01;0;100;139;0;02:02;02:05
LKR;144;1;0.01;0.001;0.01;0;100;483;0;02:02;02:05
LRD;430;1;0.01;0.001;0.01;0;100;3;0;02:02;02:05
LSL;426;1;0.01;0.001;0.01;0;100;295;0;02:02;02:05
LYD;434;1;0.001;0.0001;0.001;0;100;75.00;0;03:03;03:06
MDL;498;1;0.01;0.001;0.01;0;100;275;0;02:02;02:05
MGA;969;1;0.01;0.001;0.01;0;100;69;0;02:02;02:05
MKD;807;1;0.01;0.001;0.01;0;100;820;0;02:02;02:05
MMK;104;1;0.01;0.001;0.01;0;100;325;0;02:02;02:05
MNT;496;1;0.01;0.001;0.01;0;100;535;0;02:02;02:05
MOP;446;1;0.01;0.001;0.01;0;100;125;0;02:02;02:05
MRU;929;1;0.01;0.001;0.01;0;100;61.00;0;02:02;02:05
MUR;480;1;0.01;0.001;0.01;0;100;725;0;02:02;02:05
MVR;462;1;0.01;0.001;0.01;0;100;238;0;02:02;02:05
MWK;454;1;0.01;0.001;0.01;0;100;395;0;02:02;02:05
NAD;516;1;0.01;0.001;0.01;0;100;295;0;02:02;02:05
NIO;558;1;0.01;0.001;0.01;0;100;575;0;02:02;02:05
NPR;524;1;0.01;0.001;0.01;0;100;218;0;02:02;02:05
OMR;512;1;0.001;0.0001;0.001;0;100;6.00;0;03:03;03:06
PAB;590;1;0.01;0.001;0.01;0;100;15.50;0;02:02;02:05
PEN;604;1;0.01;0.001;0.01;0;100;58.00;0;02:02;02:05
PGK;598;1;0.01;0.001;0.01;0;100;60.00;0;02:02;02:05
PKR;586;1;0.01;0.001;0.01;0;100;432;0;02:02;02:05
PYG;600;1;1;0.1;1;0;100;110;0;00:00;00:03
QAR;634;1;0.01;0.001;0.01;0;100;56.40;0;02:02;02:05
RWF;646;1;1;0.1;1;0;100;278;0;00:00;00:03
SCR;690;1;0.01;0.001;0.01;0;100;210;0;02:02;02:05
SDG;938;1;0.01;0.001;0.01;0;100;93;0;02:02;02:05
SHP;654;1;0.01;0.001;0.01;0;100;12.00;0;02:02;02:05
SLE;925;1;0.01;0.001;0.01;0;100;335;0;02:02;02:05
SOS;706;1;0.01;0.001;0.01;0;100;89;0;02:02;02:05
SRD;968;1;0.01;0.001;0.01;0;100;565;0;02:02;02:05
SSP;728;1;0.01;0.001;0.01;0;100;202;0;02:02;02:05
STN;930;1;0.01;0.001;0.01;0;100;330;0;02:02;02:05
SVC;222;1;0.01;0.001;0.01;0;100;135;0;02:02;02:05
SYP;760;1;0.01;0.001;0.01;0;100;2000000;0;02:02;02:05
TJS;972;1;0.01;0.001;0.01;0;100;155;0;02:02;02:05
TMT;934;1;0.01;0.001;0.01;0;100;54.00;0;02:02;02:05
TTD;780;1;0.01;0.001;0.01;0;100;105.00;0;02:02;02:05
TWD;901;1;0.01;0.001;0.01;0;100;500;0;02:02;02:05
TZS;834;1;0.01;0.001;0.01;0;100;4;0;02:02;02:05
UAH;980;1;0.01;0.001;0.01;0;100;580;0;02:02;02:05
UYI;940;1;1;0.1;1;0;100;65.00;0;00:00;00:03
UYU;858;1;0.01;0.001;0.01;0;100;600;0;02:02;02:05
UYW;927;1;0.0001;0.00001;0.0001;0;100;65.00;0;04:04;04:07
UZS;860;1;0.01;0.001;0.01;0;100;1950000;0;02:02;02:05
VED;926;1;0.01;0.001;0.01;0;100;117;0;02:02;02:05
VES;928;1;0.01;0.001;0.01;0;100;580;0;02:02;02:05
VND;704;1;1;0.1;1;0;100;3950000;0;00:00;00:03
XAD;396;1;0.01;0.001;0.01;0;100;330;0;02:02;02:05
XAF;950;1;1;0.1;1;0;100;665;0;00:00;00:03
XCD;951;1;0.01;0.001;0.01;0;100;41.90;0;02:02;02:05
XCG;532;1;0.01;0.001;0.01;0;100;41.90;0;02:02;02:05
XOF;952;1;1;0.1;1;0;100;665;0;00:00;00:03
YER;886;1;0.01;0.001;0.01;0;100;388;0;02:02;02:05
ZMW;967;1;0.01;0.001;0.01;0;100;410;0;02:02;02:05
ZWG;924;1;0.01;0.001;0.01;0;100;5;0;02:02;02:05
